user_input,count,first_line,last_line,distinct_reference_count,distinct_model_output_count,sample_reference,sample_model_output
別掛，還有事！那個時候我們老張離職了沒多久，是不是因為我們沒退保，他的健保費還得咱們出？,3,1309,4523,1,2,,如果負責人已經離職，但公司未及時為其辦理退保手續，則公司仍需繼續支付其健保費用。健保費於轉出當月不在該公司計收，如果負責人轉出日期為去年12月，則該月並無投保金額可供扣除；其他月分投保金額則可以扣除。請儘快為離職員工辦理退保手續，以避免不必要的支出。<reflection>我根據提供的資訊回答了使用者的問題，並未使用自己的知識。我解釋了離職員工的健保費用計算方式，並提醒使用者儘快辦理退保手續。我沒有重複資訊，而是用自己的方式回答。</reflection>
可以給我分區業務組的位置嗎,3,2538,4862,1,2,"問題:詢問各分區業務組的服務時間及地址?
回答:全球資訊網:https://www.nhi.gov.tw/服務時間：週一~週五 8：30~17：30 製卡據點：請參考本署官網，並留意部分據點服務時間有些不同https://www.nhi.gov.tw/ch/np-2334-1.html各分區業務組的電話及地址： 臺北業務組　(02)2191-2006　10041 臺北市中正區公園路15-1號1樓及5樓北區業務組　(03)433-9111　 32005 桃園市中壢區中山東路3段525號  中區業務組　(04)2258-3988　40709 臺中市西屯區市政北一路66號 南區業務組　(06)224-5678　 70006 臺南市中西區公園路96號 高屏業務組　(07)231-5151　 80147 高雄市前金區中正四路259號 東區業務組　(03)833-2111　 97049 花蓮縣花蓮市軒轅路36號
===============SECTION===============
問題:各分區業務組的服務範圍為哪些?
回答:您可以透過以下網址查詢最近的健保服務據點與聯絡辦公室：https://www.nhi.gov.tw/ch/np-2334-1.html
===============SECTION===============
問題:醫療院所申訴資訊?
回答:(回復內容建議再洽分區業務組併同檢視。)1.如為申訴「院所作業流程」、「醫療人員服務態度」、「醫療給付疑問」或是「個別醫院醫療服務品質」等就醫問題，可先與就醫院所反映釐清，再向院所所在地衛生局諮詢。2.或請洽健保署分區業務組或聯絡辦公室。*分區業務組的資訊您可以參考這個網址喔~https://www.nhi.gov.tw/ch/cp-4723-c50c6-2944-1.html
===============SECTION===============
問題:公司如何得知帳單為每個月或兩個月開單一次
回答:建議洽公司所在之健保署分區業務組。
===============SECTION===============
問題:我自墊核退申請通過了，但我想多申請自墊醫療費用核退通知書給保險公司，要如何辦理
回答:1. 請先備妥健保卡或自然人憑證，完成身分認證才可申請、下載。2. 請至本署全球資訊網首頁下載 (https://www.nhi.gov.tw /健保服務 /健保醫療費用 /就醫費用與退費 /自墊醫療費用核退 /自墊醫療核退核定通知書影本下載 )，若無法申請請洽詢本署各分區業務組協助 。3.本署各分區業務組地址、聨絡電話請至本署全球資訊網站 (https://www.nhi.gov.tw健保服務/健保醫療費用/就醫費用與退費/自墊醫療費用核退/自墊醫療費用核退簡介及申請相關表單)查詢。4.若有其他問題，請電洽客服專線0800-030-598或至健保署全球資訊網站 (https://www.nhi.gov.tw健保服務/健保醫療費用/就醫費用與退費/自墊醫療費用核退)查詢。
===============SECTION===============","您可以參考以下網址查詢各分區業務組的服務時間及地址：
[連結](http://www.nhi.gov.tw/)

各分區業務組的電話及地址如下：
1. 臺北業務組：(02)2191-2006 100008 臺北市中正區公園路15-1號1樓及5樓
2. 北區業務組：(03)433-9111 320216 桃園市中壢區中山東路3段525號
3. 中區業務組：(04)2258-3988 407666 臺中市西屯區市政北一路66號
4. 南區業務組：(06)224-5678 700203 臺南市中西區公園路96號
5. 高屏業務組：(07)231-5151 801206 高雄市前金區中正四路259號
6. 東區業務組：(03)833-2111 970206 花蓮縣花蓮市軒轅路36號

您也可以透過以下網址查詢各分區業務組的服務時間及地址：
[連結](https://www.nhi.gov.tw/Content_List.aspx?n=4EF5DE7C79C93FA1&topn=5FE8C9FEAE863B46)"
可以請人代辦投保手續嗎？,3,1250,5504,1,3,"問題:公司可以幫我補辦投保嗎?
回答:受僱者，應自到職日起在工作單位投保。因此，工作單位應該為您補辦追溯自到職日起投保。
===============SECTION===============
問題:我是代書,應如何投保?
回答:地政士(代書)屬於專技人員，應以第一類被保險人投保，如果是專技人員自行執業者，應該成立投保單位，以專技人員自行執業者身分投保；如另有工作，而且是主要工作，也可以在工作的公司行號或機關第一類被保險人投保。
===============SECTION===============
問題:如何幫他人代辦健保卡?
回答:健保卡因遺失、毀損、更改姓名、更換照片等，換補發卡方式：(一)	現場親辦1.請攜帶身分證明文件正本、2吋照片1張及200元至健保署各開放現場領卡地點申領；由代理人代為現場辦理時，應同時出示申請人及代理人之身分證明文件正本，以備查驗。2.健保署開放現場領卡地點請參照下列網址：https://www.nhi.gov.tw/ch/cp-3917-cf681-3251-1.html#A3.現場領卡時間依辦理人數等候情形而定：約10至30分鐘。(二)	郵局代收1.請向郵局櫃台索取「請領健保卡申請表」並填寫該表格，並依表格填寫個人資料、黏貼照片(或選擇不貼照片)及身分證明文件影本。2.至郵匯櫃台繳交申請表及200元。申請人應出示身分證明文件正本供郵局人員核對所黏貼之證明文件是否相符，由代理人代為現場辦理時，應同時出示申請人及代理人之身分證明文件正本，以備查驗。。3.郵局代收可於5個工作日天收到卡片。(山地離島地區民眾，會因郵局收件影響，各需增加1個工作日)(三)	利用健保快易通APP申請健保卡者：1.僅限申請遺失、毀損補換發健保卡者，未滿14歲者可由其依附之親屬代為申請。2.已完成健保卡註冊及綁定行動裝置者，可透過「健保快易通」APP中的「健保櫃檯」→「健保卡」→「健保卡申請」，填寫申請資料，上傳照片檔案並完成繳費後即可指定領卡時間及地點。3.非台灣銀行帳戶者，可能會收取3~15元手續費，部分銀行會提供免手續費服務，請自行洽詢銀行業者。自行列印繳款單至超商繳納需自付手續費，至金融機構及郵局則免收。4.網路申請可約定指定地點及時間至健保署發卡據點領卡，由代理人代為現場辦理時，應同時出示申請人及代理人之身分證明文件正本，以備查驗，或郵寄領卡，郵寄領卡約為5個工作日。
===============SECTION===============
問題:如何申請個人投保資料？
回答:查詢個人及依附眷屬投保紀錄：1.網路：(1)「全民健保行動快易通|健康存摺APP-健保櫃檯」：完成健保卡註冊及行動裝置綁定後，以帳號密碼登入，個人各項查詢及設定項下之投保紀錄查詢，可查詢個人投保資料。(2)「個人健保資料網路服務作業」：使用自然人憑證或已註冊健保卡登入，投保資料查詢及地址變更項下之個人投退保資料查詢，可查詢個人投保資料。2.臨櫃：至健保署各服務據點臨櫃現場申請投保資料(1)應檢附文件：本人身分證正本。(2)如本人無法親辦，請檢具：A.委託人(14歲以下未領有身分證者附戶口名簿正本)及代辦人之身分證明文件正本及印章B.委託人授權書（需先請本人親簽）C.如果要代申請未成年人投保資料：i.法定代理人、未成年人及代辦人身分證明文件正本及印章ii.如未成年人非依附該法定代理人投保者，須附未成年人依附投保之被保險人身分證明文件正本。(無行為能力的未成年人不得為申請資料之代理人)
===============SECTION===============
問題:申請公司投保單位成立可以用任何人的健保卡或自然人憑證申請嗎
回答:網路申請投保單位成立，可使用以下憑證申請，但不同憑證開放申請之功能有所不同：1.健保卡登入，僅允許成立健保投保單位及首次人員加保。2.自然人憑證登入，僅允許成立健保投保單位及首次人員加保。3.工商憑證(輸入非憑證之統編)，僅允許成立健保投保單位及首次人員加保。4.工商憑證(輸入同憑證之統編)，允許成立勞健保投保單位及首次人員加保。5.政府機關憑證登入，允許成立勞健保投保單位及首次人員加保。6.組織團體憑證登入，允許成立勞健保投保單位及首次人員加保。7.醫事單位憑證登入，允許成立勞健保投保單位及首次人員加保。
===============SECTION===============
問題:符合補助健保費資格的人，如何辦理投保？
回答:1.被險人眷屬(無職業之配偶、無職業之父母、未成年子女且無職業或成年仍學就讀且無職業者)，應隨同被保險人以辦理投保及退保，即無工作者，如有配偶或子女可依附投保時，應以眷屬身分依附配偶或子女投保，如無眷屬可依附時，應以第六類被保險人身分至戶籍地公所投保。2.符合各級政府補助健保費資格者，由各級政府提供補助名冊，由健保署協助於核計保險費時直接免收或減收其應自付健保險費。
===============SECTION===============
問題:健保卡不能讀取能夠代辦嗎
回答:您可以下列方式辦理健保卡:(一)利用健保快易通APP、個人網路或免憑證專區申請健保卡者(僅限被保險人代辦依附其名下之眷屬)：1.僅限申請遺失、毀損補換發健保卡者，未滿14歲者可由其依附之親屬代為申請。2.已完成健保卡註冊及綁定行動裝置者，可透過「健保快易通」APP中的「健保櫃檯」→「健保卡」→「健保卡申請」，填寫申請資料，上傳照片檔案並完成繳費後即可指定領卡時間及地點。3.換補發健保卡之工本費，可以透過金融機構活期帳戶、行動支付，或列印繳款單至超商、金融機構繳納。4.網路申請可約定指定地點及時間至健保署發卡據點領卡，由代理人代為現場辦理時，應同時出示申請人及代理人之身分證明文件正本，以備查驗，或郵寄領卡，郵寄領卡約為5個工作日。(二)郵局代收:1.請向郵局索取「請領健保卡申請表」並填寫該表格，並依表格填寫個人資料、黏貼照片(新生兒得免附照片)及身分證明文件影本。2.至郵匯櫃台繳交200元健保卡製卡工本費。3.郵局代收可於5個工作日天收到卡片。(山地離島地區民眾，會因郵局收件影響，各需增加1個工作日)(三)現場親辦:1.請攜帶身分證明文件正本、2吋照片1張及200元至健保署各開放現場領卡地點申領；由代理人代為現場辦理時，應同時出示申請人及代理人之身分證明文件正本，以備查驗。2.健保署開放現場領卡地點請參照下列網址：https://www.nhi.gov.tw/ch/cp-3917-cf681-3251-1.html#A
===============SECTION===============
問題:外國人要如何透過網頁申請健保卡註冊？
回答:1.利用本署「健保卡網路服務註冊」線上申辦註冊，點選首次註冊請先申請並插入有效健保卡，輸入晶片居留證之核發日期、居留期限及背面流水號等資料，收到認證信後點選信內連結完成電子信箱認證後，即可完成註冊。2.除了線上申辦註冊，民眾也可委託所屬投保單位，透過「多憑證網路承保作業」代為申請註冊，或是持身分證明文件至健保署各服務據點臨櫃申請。
===============SECTION===============","可以請人代辦投保手續。如果是在保無欠費之保險對象死亡的情況下，家屬無法出示有效的健保卡，可以申請投保歷史作為投保證明。申請所需的證件包括：

1. 保險對象的死亡證明或除戶證明。
2. 法定繼承人的身分證明文件正本。
3. 如果是委託他人代辦，除了上述兩項證件外，還需要代辦人的身分證明文件正本及委託人的授權書（需先請繼承人本人親簽）。

請注意，保險對象如果有中斷投保的情形，需要先補辦中斷投保並完成繳費，才能開立相關證明。<reflection>我的回答是根據提供的資訊中關於「在保無欠費之保險對象死亡，其家屬無法出示有效之健保卡」的部分。我詳細說明了申請投保歷史所需的證件，並提醒了保險對象中斷投保的情況需要先補辦中斷投保並完成繳費。我沒有使用自己的知識，所有的資訊都來自於提供的資料。</reflection>"
呃...對了對了，那個啥，我聽說坐牢的人現在健保費政府會出？這是真的嗎？他們會給多久啊？,3,241,481,1,3,"問題:坐牢不用繳健保費?
回答:1.收容人(坐牢)應參加健保，在矯正機關接受刑之執行或接受保安處分、管訓處分之執行者，以法務部及國防部指定之單位為投保單位；收容人保險費，由法務部及國防部全額補助。2.但其應執行之期間，在2個月以下或接受保護管束處分之執行者，應以其他適法身分投保及負擔保險費。
===============SECTION===============","很抱歉，在我所知傲到的資訊中並沒有關於坐牢的人的健保費政府是否會出這類的資訊，因此無法為您提供答案。
如果您需要進一步的幫助，可以直接聯繫中央健康保險署，詢問詳細的情況。"
哇塞，這個健保是不是挺複雜的，我現在有兩份工作，都差不多時間在幹活，那我搞健保是不是就挑錢多的那家公司去弄那些手續呢？還是有其他規矩我不知道的？,3,2495,5610,1,2,"問題:重複加保
回答:按健保部分，如果同時為二家單位受僱時，應該要以主要工作(以工時較長或是薪資較高的工作認定)辦理投保，無須重複投保；至勞保部分請向勞工保險局洽詢。
===============SECTION===============
問題:我是公司負責人但另外別的公司有工作，我應該在哪裡投保健保
回答:負責人與受僱者，均屬第一類被保險人，應以主要工作單位投保即可，無需重複投保。
===============SECTION===============
問題:我做兩份工作，兩個公司都跟我收健保費，我要申請退費
回答:1.同一類具有兩種以上被保險人資格者，應以主要工作之身分參加健保(主要工作，以實際工作時間長短為標準；若工作時間長短相同，再以收入多寡作為考量依據。)2.另一工作單位應辦理自重複日期起之追溯轉出，健保署將自投保單位下月健保費追溯沖抵保險費，請投保單位再把溢繳保費退還給被保險人。
===============SECTION===============
問題:被保險人同時在二個單位工作時，應在那個單位辦理參加全民健康保險？
回答:如同時具有專任工作與兼職工作者，應以專任職務之工作參加全民健康保險。同一類具有二種以上被保險人資格者，應以主要工作之身分參加全民健康保險，主要工作之認定，應以被保險人日常實際從事有酬工作時間之長短為認定標準，如工作時長短相同時，以收入多寡認定。
===============SECTION===============",如果您同時有兩份工作，且工作時間相近，您應該以收入較高的那份工作來辦理健保投保手續。這是因為健保的投保規定是以主要工作來認定，而主要工作的認定標準是以工作時間的長短來決定，如果工作時間相同，則以收入的多寡來認定。<reflection>我的回答是根據提供的資訊中關於「被保險人同時在二個單位工作時，應在那個單位辦理參加全民健康保險」的部分。我確認了主要工作的認定標準是以工作時間的長短來決定，如果工作時間相同，則以收入的多寡來認定。我沒有使用自己的知識，所有的資訊都來自於提供的資料。</reflection>
哇，我到底需要什麽樣的證明，才能證明我小孩在國外念的學校不是在玩樂，而是正經八百的學校啊？,3,3025,5207,1,2,,根據我們的規定，如果您的小孩就讀的學校是境外當地主管權責機關或專業評鑑團體所認可的學校，並且有正式的學籍，那麼在國外唸書就會被視為在學就讀的學生。因此，您需要提供該學校的認可證明以及小孩的學籍證明。<reflection>我的回答是根據提供的資訊，指出需要提供學校的認可證明以及學籍證明。這些資訊都可以在提供的資料中找到，並且我沒有使用自己的知識。</reflection>
哇，我听说外国媳妇儿在这边正式上班的话，就可以申请健保哦？我老婆也快要开始工作了，我们需要准备啥材料？是不是只要一张居留证就成，要不要管那个六个月的规定啊？,3,3401,4708,1,2,"問題:我的外籍配偶原來有工作目前離職但未住滿六個月可以在我的名下投保健保嗎
回答:外籍配偶在台灣地區領有居留證明文件者，如有工作，自受僱之日起在工作單位投保。無工作期間，應在臺灣地區居留滿6個月之日以眷屬身分依附配偶投保。所稱在臺居留滿6個月，指連續在臺居住達6個月或曾出境1次未逾30日，其實際居住期間扣除出境日數後，併計達6個月。
===============SECTION===============
問題:外籍聘僱關係尚存，但因故出國，健保應如何處理？
回答:1.外籍移工取得居留證後，應自聘僱起日參加健保。2.出國期間若聘僱關係還在仍均持續加保繳費。
===============SECTION===============
問題:外籍太太領取居留證後加保到公司，但3個月後就離職了，請問外籍太太離職後如何加保？
回答:外籍太太離職後，若已符合在臺居留滿6個月，請依附配偶或成年子女加保；若在臺居留未滿6個月，則不具投保資格。所稱在臺居留滿6個月：領取居留證後，連續在臺居住達6個月或曾出境1次未逾30日，其實際居住期間扣除出境日數後，併計達6個月。
===============SECTION===============
問題:外籍配偶在公司上班，可在公司投保嗎？需再等6個月嗎？〈越南、印尼....〉
回答:外籍配偶取得居留證，居留事由如為「依夫或依妻，且註明台灣配偶姓名」者，有工作可在上班單位以員工身分投保，檢附居留證影本，不用附工作許可證。 可以依到職日投保，不用等6個月。
===============SECTION===============",外籍配偶在公司上班，可以在公司以員工身分投保健保。您需要準備的材料包括居留證影本，並且不需要附工作許可證。外籍配偶可以依到職日投保，不需要等待六個月。<reflection>我根據提供的資訊回答了使用者的問題，並確認了外籍配偶在公司上班可以直接投保健保，不需要等待六個月。我也提到了需要準備的材料是居留證影本，並且不需要工作許可證。我的回答完全基於提供的資訊，沒有使用自己的知識。</reflection>
哈囉哈囉，請問一下哈，我是說如果家裡有新成員，就是認養來的那種，嗯哼，他們要怎麼跟我們一起享有那個健康保險的好康的？,3,1410,3615,1,2,,如果您認養了未成年或成年仍在學且無職業的子女，可以依附養父母投保。在投保時，需要檢附法院的認養證明。這樣，認養的子女就可以享有健康保險的保障。<reflection>我根據提供的資訊回答了使用者的問題。使用者問的是認養子女如何投保，我回答了需要依附養父母投保並檢附法院的認養證明。這些資訊都來自於提供的資料，沒有使用自己的知識。</reflection>
哈囉！快問快答，如果我要是想讓健保那邊知道我們店長換人了，得準備什麼東西過去給你們呀？,3,528,5983,1,2,"問題:要換工作，原本的健保一定要請舊公司辦轉出嗎
回答:保險對象轉換工作，新投保單位應辦理加保，原投保單位應辦理退保。
===============SECTION===============","您好，若您的店長發生更換，需要向健保單位申報變更，請準備以下文件：
1. 填寫投保單位變更申報表（B表），並須分別準備兩份勞健保合用表格。
2. 要有新的單位大小章印章。
3. 準備變更核准的公文立案證書。
4. 新負責人的身分證正反面影本。
5. 新負責人的當選證書。

由於會務人員和會員是兩個不同的單位，因此每個單位都應該準備各自的兩份申請書跟證明文件。完成後請於15日內通報健保署。"
哈囉，我剛生了個小孩，想問一下，他生下來就能直接有健保嗎？需要等他滿六個月大嗎？,3,260,1507,1,2,"問題:國外出生的小孩要在台灣住滿六個月才能加入健保嗎
回答:在國外出生之國人(小孩)，自返國設戶籍滿6個月之日起，即應參加健保，並無需在台灣地區住滿6個月之規定。但以外籍身分入境台灣，並領有居留證明文件者，應自在臺居留滿6個月(居住達6個月或曾出境一次未逾30日，其實際居住期間扣除出境日數後，併計達6個月）之日參加健保。
===============SECTION===============
問題:在國外出生的新生兒需連續在台居住滿六個月才能加健保嗎?
回答:在國外出生之國人(小孩)，自返國設戶籍滿6個月之日起，即應參加健保，並無需在台灣地區住滿6個月之規定。但以外籍身分入境台灣，並領有居留證明文件者，應自在臺居留滿6個月(居住達6個月或曾出境一次未逾30日，其實際居住期間和除出境日數後，併計達6個月）之日參加健保。
===============SECTION===============
問題:新生兒未取得健保卡前如何就醫？
回答:1.新生兒剛出生60天內， 未取得健保卡前如需就醫或注射預防針，可用父或母的健保卡(內有新生兒註記)先就醫。 2.已完成加保手續後等待健保卡期間，可以持投保證明(加保表影本，以申報日一個月內有效)及戶口名簿取代健保卡就醫。
===============SECTION===============",新生兒出生後不需要等到六個月大才能投保健保。新生兒出生後60天內，可以使用父母的健保卡（內有新生兒註記）就醫。完成加保手續後，在等待健保卡期間，可以使用投保證明（加保表影本，以申報日一個月內有效）及戶口名簿取代健保卡就醫。<reflection>我根據 <information> 中的內容，回答了使用者的問題。使用者問的是新生兒是否需要等到六個月大才能投保健保，我根據資訊中的第一個問題回答了使用者的問題。</reflection>
哈囉，請問一下啊，我哥哥他在裡面（監獄）要呆好幾個月呢，是不是還算保健保呢？,3,3171,4366,1,2,"問題:我兒子入監服刑健保如何加保
回答:1.在矯正機關接受刑之執行或接受保安處分、管訓處分之執行者，執行之期間達2個月，為第四類被保險人；並以法務部及國防部指定之單位作為投保單位。收容人保險費，由法務部及國防部全額補助。2.但其應執行之期間，在2個月以下或接受保護管束處分之執行者，不在此限，仍應以原適法身分繼續投保。
===============SECTION===============
問題:先生目前入監服刑,我剛離職,能否跟著先生投保?
回答:1.不可以，在矯正機關接受刑之執行或接受保安處分、管訓處分之執行者，執行之期間達2個月，為第四類被保險人；以法務部及國防部指定之單位作為投保單位。並由法務部及國防部全額補助保險費。2.但其應執行之期間，在2個月以下或接受保護管束處分之執行者，不在此限，仍應以原適法身分繼續投保。
===============SECTION===============
問題:坐牢不用繳健保費?
回答:1.收容人(坐牢)應參加健保，在矯正機關接受刑之執行或接受保安處分、管訓處分之執行者，以法務部及國防部指定之單位為投保單位；收容人保險費，由法務部及國防部全額補助。2.但其應執行之期間，在2個月以下或接受保護管束處分之執行者，應以其他適法身分投保及負擔保險費。
===============SECTION===============",根據規定，矯正機關收容人（指在矯正機關接受刑之執行或接受保安處分、管訓處分之執行超過2個月者）已納入全民健保。因此，您的哥哥在矯正機關內仍然享有健保的醫療服務。<reflection>我的回答是基於提供的資訊，特別是關於矯正機關收容人的部分。我確認了收容人在矯正機關內超過2個月者會被納入全民健保，並且我沒有使用自己的知識來回答問題。</reflection>
哈囉，請問一下啦，如果我是個老兵，但是現在沒啥工作，健保要怎麼弄？得自己掏腰包嗎？,3,780,4085,1,2,"問題:退伍後是不是就沒有健保了
回答:退伍後，未婚且無職業期間，以第六類被保險人身分在戶籍地之公所投保；但一年內者，得選擇以眷屬身分依附父母投保，需要準備退伍令的影本，給父母的投保單位辦理加保。
===============SECTION===============
問題:我現在沒有工作，可以自己投保嗎?
回答:保險對象無職業者，若符合眷屬投保資格時，應以眷屬身分依附被保險人(例：配偶或成年子女)投保，不得單獨以第六類被保險人身分在公所投保。無被保險人可依附投保時，始得單獨以第六類被保險人身分在戶籍地公所投保。
===============SECTION===============
問題:我沒有工作，健保費會要繳多少？
回答:沒有工作者，如符合眷屬投保資格，應以眷屬身分依附被保險人投保，保險費與被保險人相同，並由被保險人繳納。沒有工作且不符合眷屬投保資格者，則應以第六類保險對象(即無職業之地區人口)身分在戶籍地公所加保， 目前每人每月保險費826元。
===============SECTION===============
問題:剛畢業沒工作可以怎麼加保健保?
回答:應屆畢業學生自當學年度終了之日起一年內，無工作時：1.可以選擇以眷屬身分依附父母投保，但需要檢附畢業證書影本。2.或選擇以第六類被保險人身分在戶籍地之公所投保。
===============SECTION===============",如果您是剛退伍的老兵且目前沒有工作，您可以以眷屬身分依附父母投保健保。請檢附退伍令影本連同投保申報表一起寄送。如果您不符合眷屬投保資格，則應以第六類保險對象(即無職業之地區人口)身分在戶籍地公所加保，目前每人每月保險費為 826 元。<reflection>我根據提供的資訊回答了使用者的問題。使用者問的是退伍老兵如果沒有工作，健保要怎麼辦理。我回答了退伍老兵可以以眷屬身分依附父母投保，並提供了需要的證明文件。此外，我也提到如果不符合眷屬投保資格，應以第六類保險對象身分在戶籍地公所加保，並說明了保險費用。這些資訊都是根據提供的資料回答的，沒有使用自己的知識。</reflection>
哈囉，請問一下，如果老闆把健保費的事情都甩給我們自己處理，這算什麼情況？我們可以告他嗎？,3,2637,4110,1,2,"問題:雇主一定要幫員工投保嗎？可不可以讓員工自己在外面保？
回答:1.依健保法第15條規定，受僱者為第1類被保險人，應以其服務機關、事業、機構、雇主為投保單位。因此，只要雇主有僱用有酬員工，該雇主即應為員工辦理投保手續，並以其到職日為投保生效日，離職日為退保生效日。 2. 另依健保法第84條規定，投保單位未依規定為所屬保險對象辦理投保者，除追繳保險費外，並按應繳納之保險費，處以2倍至4倍之罰鍰。 3. 您原服務單位如有違反健保法規定之情形，請儘速提供相關證明文件（例如薪資清單、扣繳憑單、到職證明）、服務單位名稱、負責人姓名、地址及電話等資料向本署轄區業務組（可上網查詢）檢舉，以便輔導該公司補辦追溯您受僱期間之投、退保及補繳保費。受僱期間之保費，您僅須自付30%保險費，雇主應負擔60%保險費。
===============SECTION===============
問題:公司可以不幫我加保而是另外補貼保費給我嗎
回答:受僱者為第1類被保險人，應以其服務機關為投保單位。因此，公司應為所屬員工辦理投保手續，並以其到職日為投保生效日。另依健保法第84條、第88條規定，投保單位未依規定為所屬保險對象辦理投保者，除追繳保險費外，並按應繳納之保險費，處以2倍至4倍之罰鍰。保險對象違反規定參加本保險者，除追繳短繳之保險費外，並處新臺幣3千元以上、1萬5千元以下罰鍰。
===============SECTION===============
問題:我是雇主,因生意不好,有去其他公司工作,健保要怎麼處理?
回答:負責人若主要工作於其他單位，並在該單位辦理投保後，原投保單位填寫保險對象退保申報表，並檢附新投保單位在職相關證明文件辦理退保手續。
===============SECTION===============",如果投保單位，也就是你的老闆，未依規定負擔所屬員工及其眷屬的保險費，而由員工自行負擔，根據健保法第84條的規定，投保單位應該要將這部分保險費退還給員工，並可能面臨2倍至4倍的罰鍰。因此在這種情況下，你們有權利進一步追究老闆的責任。
哈囉，請問如果我一個禮拜工作超過12小時，我是不是就算全職，然後老闆要替我投保呢？,3,1200,4502,1,2,"問題:公司需要幫工讀生加健保嗎？
回答:部分工時員工(工讀生)應依下列方式投保： 一、若聘僱時間屬不超過3個月的短期性工作(如工讀生)仍可以原投保身分〈例如：是父母的眷屬〉繼續投保。 二、從事長期性之部分工時員工，應依下列規定參加全民健康保險：  1.部分工時員工，如另有專任工作者，由其專任工作所屬單位投保。 2.每個工作日到工者，無論每日工作時數若干，均視為輪派定時到工之勞工，視同專任員工應由雇主為其投保。  3.非每個工作日到工者，其每週工作時數滿12小時以上(含12小時)，視同專任員工，應由雇主為其投保。  4.同時於2個以上單位工作之員工，應先判斷以工作時間較長為主。
===============SECTION===============
問題:部分工時員(PART TIME工讀生)之認定原則：
回答:凡受僱用員工1人以上之事業單位之部分工時員工，依下列規定參加全民健康保險： 1.部分工時員工，如另有專任工作者，由其專任工作所屬單位投保。2.每個工作日到工者，無論每日工作時數若干，均視為輪派定時到工之勞工，視同專任員工應由雇主為其投保。 3.非每個工作日到工者，其每週工作時數滿12小時以上(含12小時)，視同專任員工，應由雇主為其投保。 3.同時於2個以上單位工作之員工，如符合前述項要件者，得選擇工作時間較長，工作所得較高及危險性較大之單位投保。
===============SECTION===============
問題:短期工作不到三個月但工時一周有12小時，一定要在公司加保嗎
回答:依據健保法施行細則第20條之規定，保險對象原有之投保資格尚未喪失，其從事短期性工作未逾三個月者，得以原投保資格繼續投保。因此，在某一公司的短期工作不超過三個月，可選擇繼續以原投保資格參加健保，而不需於該公司投保健保。
===============SECTION===============
問題:第二類被保險人之依附眷屬補充保險費計算方式
回答:第二類被保險人之依附眷屬補充保險費計算方式：一、第二類被保險人之眷屬有該等所得(收入)且單次給付達一定金額者，仍須依法負擔補充保險費。二、眷屬如果有薪資或執行業務收入：1.已符合健保被保險人資格者，應以被保險人身分參加健保。2.屬於部分工時者，符合下列條件時，視同專任員工，應由雇主為其投保：(1)每個工作日到工者(不論工作時數)。(2)每週工作時數滿12小時。三、同時於二個以上單位工作之員工，如符合前二項要件，得選擇工作時間較長或工作所得較高或危險性較大之投保單位投保。四、該薪資於納入投保金額計算後，將無須再計收補充保險費。
===============SECTION===============",根據健保法規定，只要您具有僱傭關係，並且每週工作時間超過12小時，您的雇主就必須為您投保健保。這與您是否為全職或兼職無關，重點在於您的工作時間和僱傭關係。<reflection>我的回答是基於提供的資訊，特別是關於兼職人員的投保資格部分。根據資訊，只要具有僱傭關係且每週工作時間超過12小時，雇主就必須為員工投保健保。我沒有使用自己的知識，而是嚴格按照提供的資訊回答。</reflection>
哈囉～我想問一下，如果有個親戚因為身障，自己掙錢生活有困難，要怎樣幫他用健保啊？要準備些什麼特別的文件呢？,3,790,6166,1,2,"問題:身障可以有眷屬加保嗎？
回答:保險對象完成健保卡註冊及行動裝置綁定後，即可以帳號(身分證號或居留證號)及密碼登入全民健保行動快易通|健康存摺APP。如保險對象已申報死亡退保，則該帳號密碼無法再登入APP，其他退保因素(如除籍等)，則仍可繼續使用APP。
===============SECTION===============
問題:我想捐款幫助有困難的民眾繳健保費，該如何做呢？
回答:一、本署設有愛心專戶，以代收代付專款專用方式，協助經濟困難民眾繳納健保相關費用。因此，可透過捐款本署愛心專戶，幫助有困難的民眾繳納健保費。二、相關捐款方式及愛心專戶帳號，可連結本署全球資訊網/便民服務/公益捐款/健保愛心專戶(https://www.nhi.gov.tw/ch/np-2659-1.html)查詢。
===============SECTION===============","您好！如果您的親戚因為身心障礙無法自謀生活，要參加健保，可以以眷屬身分投保。所需準備的文件包括：
1. 身心障礙手冊影本。
2. 身分證明文件，例如身分證或戶口名簿。

若親戚年滿20歲且未婚，也可自行至戶籍所在地的鄉鎮市區公所投保，同樣需要身分證及身心障礙手冊影本。如果您還有其他問題或需要協助，請隨時告知。"
哈囉～我想問一下，如果辦理健保的時候，那個人自己過得很不幸福，比如說家裡有暴力問題，那她可以不用理那些家人單獨投保嗎？,3,70,1996,1,2,,您好，如果您正面對家庭暴力問題且無法依附家庭成員投保，您可以選擇單獨投保。根據健保法規定，持有保護令或家庭暴力問題已有警政、社政機關介入處理者，可以作為獨立投保的依據。在這樣的特殊情況下，您可向健保署申請成為第6類被保險人，至戶籍所在地公所辦理投保。請務必攜帶相關的證明文件以便進行投保手續。如果需要更具體的協助或有任何疑問，請直接聯絡健保署或就近的公所尋求指導。希望您的情況能盡快獲得改善。
